Kommunenavn;Kommune;Kirke;Skattenedslag;Grundskyld (promille)
Albertslund;25,6;0,8;0,71;33,94
Allerød;24,3;0,58;0;22,8
Assens;26,1;0,95;1,21;22,12
Ballerup;25,5;0,72;0,61;28,89
Billund;24;0,89;0;18,48
Bornholm;26,2;0,93;1,31;33,41
Brøndby;24,3;0,8;0;20,5
Brønderslev;26,9;1,09;2,01;31,23
Dragør;24,8;0,6;0;24,47
Egedal;25,7;0,75;0,81;23,98
Esbjerg;25,6;0,81;0,71;25,29
Fanø;24,9;1,14;0,01;34
Favrskov;25,7;0,99;0,81;23,32
Faxe;26,1;1,08;1,21;25
Fredensborg;25,3;0,6;0,41;24,65
Fredericia;25,5;0,88;0,61;26
Frederiksberg;22,8;0,5;0;24,75
Frederikshavn;26,2;1,03;1,31;29,9
Frederikssund;25,3;0,96;0,41;32,5
Furesø;24,8;0,65;0;21,5
Faaborg-Midtfyn;26,1;1,05;1,21;22,85
Gentofte;22,8;0,39;0;16
Gladsaxe;23,7;0,71;0;23
Glostrup;23,6;0,67;0;25
Greve;23,9;0,73;0;16,94
Gribskov;24,7;0,88;0;29,34
Guldborgsund;26,3;1,16;1,41;32,34
Haderslev;26,3;0,95;1,41;24,36
Halsnæs;25,7;0,85;0,81;34
Hedensted;25,4;0,98;0,51;18
Helsingør;25,3;0,63;0,41;28,5
Herlev;23,7;0,75;0;24,3
Herning;24,9;0,99;0,01;20,53
Hillerød;25,6;0,69;0,71;20,65
Hjørring;25,9;1,19;1,01;34
Holbæk;25,3;0,96;0,41;25,09
Holstebro;25,3;1,08;0,41;24,12
Horsens;25,2;0,84;0,31;22,56
Hvidovre;25,5;0,72;0,61;29,7
Høje-Taastrup;24,6;0,85;0;24,4
Hørsholm;23,2;0,62;0;22,1
Ikast-Brande;25,1;1;0,21;20,35
Ishøj;25;0,9;0,11;25
Jammerbugt;25,7;1,2;0,81;32,85
Kalundborg;25;1,01;0,11;34
Kerteminde;26,2;0,98;1,31;30,3
Kolding;25;0,92;0,11;25
København;23,8;0,8;0;34
Køge;24,9;0,87;0,01;21,04
Langeland;27,8;1,14;2,91;24,57
Lejre;25,2;1,05;0,31;28,23
Lemvig;25,2;1,27;0,31;28
Lolland;27;1,23;2,11;33,09
Lyngby-Taarbæk;23,7;0,54;0;21,49
Læsø;26,5;1,3;1,61;34
Mariagerfjord;25,9;1,15;1,01;28,8
Middelfart;25,8;0,9;0,91;21,29
Morsø;25,8;1,2;0,91;24,68
Norddjurs;25,6;1;0,71;34
Nordfyns;26;1,04;1,11;29,98
Nyborg;26,4;1,1;1,51;27,83
Næstved;25;0,98;0,11;25
Odder;25,1;0,97;0,21;30,32
Odense;25,3;0,68;0,41;21,71
Odsherred;26,6;0,98;1,71;34
Randers;25,6;0,89;0,71;27,93
Rebild;25,5;1,2;0,61;26,09
Ringkøbing-Skjern;25;1,05;0,11;31
Ringsted;26,7;0,93;1,81;24,74
Roskilde;25,2;0,84;0,31;24,31
Rudersdal;22,5;0,56;0;22,93
Rødovre;25,7;0,72;0,81;30,8
Samsø;26;1,22;1,11;30,75
Silkeborg;25,5;0,95;0,61;28,26
Skanderborg;25,7;0,86;0,81;24,66
Skive;25,5;1;0,61;20,68
Slagelse;25,1;0,96;0,21;25,3
Solrød;24,6;0,82;0;20,95
Sorø;26,4;0,95;1,51;25,74
Stevns;25;1,1;0,11;21,52
Struer;25,3;1,2;0,41;22,9
Svendborg;26,8;1,02;1,91;23,32
Syddjurs;25,9;1;1,01;33,8
Sønderborg;25,7;0,93;0,81;27,1
Thisted;25,5;1,28;0,61;23,75
Tønder;25,3;1,16;0,41;21,24
Tårnby;23,1;0,61;0;24
Vallensbæk;25,1;0,68;0,21;24,38
Varde;25,1;0,98;0,21;31,56
Vejen;25,2;1,06;0,31;20,36
Vejle;23,4;0,89;0;27,75
Vesthimmerland;27;1,18;2,11;22,82
Viborg;25,7;0,93;0,81;23,7
Vordingborg;25,2;1,02;0,31;32,32
Ærø;26,1;1,07;1,21;30
Aabenraa;25,6;0,95;0,71;18,9
Aalborg;25,4;0,98;0,51;26,95
Aarhus;24,4;0,74;0;24,58
